speech_id,keybert_keywords
CREC-2023-01-25-pt1-PgH293-5-16,"['inquire', 'colleague', 'remaining', 'speakers']"
CREC-2023-01-25-pt1-PgH293-5-17,['speakers']
CREC-2023-01-25-pt1-PgH293-5-18,"['federal', 'survivors', 'streamlining', 'bipartisan']"
CREC-2023-01-25-pt1-PgH293-5-19,"['recovery', 'streamline', 'agencies', '255']"
CREC-2023-01-25-pt1-PgH295-0,"['online', 'requirements', 'recipients', 'suspend', 'federal']"
CREC-2023-01-25-pt1-PgH295-8,"['extraneous', '259', 'days', 'consent']"
CREC-2023-01-25-pt1-PgH295-11,"['rico', 'passed', 'acknowledging', 'taxpayers', 'disaster']"
CREC-2023-01-25-pt1-PgH295-15,"['vulnerable', 'tracking', 'delegate', 'federal', 'disasters']"
CREC-2023-01-25-pt1-PgH295-16,"['yield', 'consume', 'time', 'gentlewoman', 'puerto']"
CREC-2023-01-25-pt1-PgH295-17,"['hurricanes', 'information', 'taxpayers', 'repository', 'initiative']"
CREC-2023-01-25-pt1-PgH295-18,"['mr', 'measure', 'transparency', 'suspension', 'bipartisan']"
CREC-2023-01-25-pt1-PgH295-19,"['greater', 'recovery', 'agencies', 'closing', 'commonsense']"
CREC-2023-01-25-pt1-PgH297-0,"['purposes', '388', 'suspend', 'commission']"
CREC-2023-01-25-pt1-PgH297-9,"['388', 'extraneous', 'days', 'legislative']"
CREC-2023-01-25-pt1-PgH297-12,"['current', 'space', 'commission', 'revokes', 'gsa']"
CREC-2023-01-25-pt1-PgH297-13,"['constitution', 'accountability', 'revokes', 'leasing', 'sec']"
CREC-2023-01-25-pt1-PgH297-14,"['time', 'reserve', 'balance', 'additional', 'speakers']"
CREC-2023-01-25-pt1-PgH297-15,"['yield', 'norton', 'columbia', 'minutes', 'gentlewoman']"
CREC-2023-01-25-pt1-PgH297-16,"['costs', 'commit', 'occupancy', 'headquarters', 'federal']"
CREC-2023-01-25-pt1-PgH297-18,"['minutes gentlewoman', 'additional minutes', 'yield additional']"
CREC-2023-01-25-pt1-PgH297-19,"['bids', 'ultimately', 'vetoed', 'civilian', 'gsa']"
CREC-2023-01-25-pt1-PgH297-20,"['balance', 'time', 'reserve', 'prepared', 'close']"
CREC-2023-01-25-pt1-PgH297-21,"['leasing', 'gsa']"
CREC-2023-01-25-pt1-PgH297-22,"['388', 'yield', 'oversight', 'leasing', 'gsa']"
CREC-2023-01-25-pt1-PgH299-0,"['establish task', 'force improvements', 'air missions purposes', 'suspend rules pass', 'notices']"
CREC-2023-01-25-pt1-PgH299-7,"['consent members', 'ask unanimous', 'legislative', 'remarks include extraneous', 'days revise extend']"
CREC-2023-01-25-pt1-PgH299-10,"['11 outage federal', 'reliable functional incident', 'notam proposing solutions', 'outage federal aviation', 'notam occurred nearly']"
